Date : 2022-05-18 17:05:31
Directory : c:\Users\howel\Desktop\Final Capstone\WIP\capstone
Total : 212 files,  36105 codes, 441 comments, 1241 blanks, all 37787 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
| c:\Users\howel\Desktop\Final Capstone\WIP\capstone\.idea\libraries\Maven__com_fasterxml_jackson_core_jackson_core_2_11_0.xml                        | XML          |         13 |          0 |          0 |         13 |
| c:\Users\howel\Desktop\Final Capstone\WIP\capstone\.idea\libraries\Maven__com_fasterxml_jackson_core_jackson_databind_2_11_0.xml                    | XML          |         13 |          0 |          0 |         13 |
| c:\Users\howel\Desktop\Final Capstone\WIP\capstone\.idea\libraries\Maven__com_fasterxml_jackson_datatype_jackson_datatype_jdk8_2_11_0.xml           | XML          |         13 |          0 |          0 |         13 |
| c:\Users\howel\Desktop\Final Capstone\WIP\capstone\.idea\libraries\Maven__com_fasterxml_jackson_datatype_jackson_datatype_jsr310_2_11_0.xml         | XML          |         13 |          0 |          0 |         13 |
| c:\Users\howel\Desktop\Final Capstone\WIP\capstone\.idea\libraries\Maven__com_fasterxml_jackson_module_jackson_module_parameter_names_2_11_0.xml    | XML          |         13 |          0 |          0 |         13 |
| c:\Users\howel\Desktop\Final Capstone\WIP\capstone\.idea\libraries\Maven__com_jayway_jsonpath_json_path_2_4_0.xml                                   | XML          |         13 |          0 |          0 |         13 |
| c:\Users\howel\Desktop\Final Capstone\WIP\capstone\.idea\libraries\Maven__com_vaadin_external_google_android_json_0_0_20131108_vaadin1.xml          | XML          |         13 |          0 |          0 |         13 |
| c:\Users\howel\Desktop\Final Capstone\WIP\capstone\.idea\libraries\Maven__com_zaxxer_HikariCP_3_4_5.xml                                             | XML          |         13 |          0 |          0 |         13 |
| c:\Users\howel\Desktop\Final Capstone\WIP\capstone\.idea\libraries\Maven__io_jsonwebtoken_jjwt_api_0_11_1.xml                                       | XML          |         13 |          0 |          0 |         13 |
| c:\Users\howel\Desktop\Final Capstone\WIP\capstone\.idea\libraries\Maven__io_jsonwebtoken_jjwt_impl_0_11_1.xml                                      | XML          |         13 |          0 |          0 |         13 |
| c:\Users\howel\Desktop\Final Capstone\WIP\capstone\.idea\libraries\Maven__io_jsonwebtoken_jjwt_jackson_0_11_1.xml                                   | XML          |         13 |          0 |          0 |         13 |
| c:\Users\howel\Desktop\Final Capstone\WIP\capstone\.idea\libraries\Maven__jakarta_activation_jakarta_activation_api_1_2_2.xml                       | XML          |         13 |          0 |          0 |         13 |
| c:\Users\howel\Desktop\Final Capstone\WIP\capstone\.idea\libraries\Maven__jakarta_annotation_jakarta_annotation_api_1_3_5.xml                       | XML          |         13 |          0 |          0 |         13 |
| c:\Users\howel\Desktop\Final Capstone\WIP\capstone\.idea\libraries\Maven__jakarta_validation_jakarta_validation_api_2_0_2.xml                       | XML          |         13 |          0 |          0 |         13 |
| c:\Users\howel\Desktop\Final Capstone\WIP\capstone\.idea\libraries\Maven__jakarta_xml_bind_jakarta_xml_bind_api_2_3_3.xml                           | XML          |         13 |          0 |          0 |         13 |
| c:\Users\howel\Desktop\Final Capstone\WIP\capstone\.idea\libraries\Maven__junit_junit_4_13.xml                                                      | XML          |         13 |          0 |          0 |         13 |
| c:\Users\howel\Desktop\Final Capstone\WIP\capstone\.idea\libraries\Maven__net_bytebuddy_byte_buddy_1_10_10.xml                                      | XML          |         13 |          0 |          0 |         13 |
| c:\Users\howel\Desktop\Final Capstone\WIP\capstone\.idea\libraries\Maven__net_bytebuddy_byte_buddy_agent_1_10_10.xml                                | XML          |         13 |          0 |          0 |         13 |
| c:\Users\howel\Desktop\Final Capstone\WIP\capstone\.idea\libraries\Maven__net_minidev_accessors_smart_1_2.xml                                       | XML          |         13 |          0 |          0 |         13 |
| c:\Users\howel\Desktop\Final Capstone\WIP\capstone\.idea\libraries\Maven__net_minidev_json_smart_2_3.xml                                            | XML          |         13 |          0 |          0 |         13 |
| c:\Users\howel\Desktop\Final Capstone\WIP\capstone\.idea\libraries\Maven__org_apache_logging_log4j_log4j_api_2_13_2.xml                             | XML          |         13 |          0 |          0 |         13 |
| c:\Users\howel\Desktop\Final Capstone\WIP\capstone\.idea\libraries\Maven__org_apache_logging_log4j_log4j_to_slf4j_2_13_2.xml                        | XML          |         13 |          0 |          0 |         13 |
| c:\Users\howel\Desktop\Final Capstone\WIP\capstone\.idea\libraries\Maven__org_apache_tomcat_embed_tomcat_embed_core_9_0_35.xml                      | XML          |         13 |          0 |          0 |         13 |
| c:\Users\howel\Desktop\Final Capstone\WIP\capstone\.idea\libraries\Maven__org_apache_tomcat_embed_tomcat_embed_websocket_9_0_35.xml                 | XML          |         13 |          0 |          0 |         13 |
| c:\Users\howel\Desktop\Final Capstone\WIP\capstone\.idea\libraries\Maven__org_apiguardian_apiguardian_api_1_1_0.xml                                 | XML          |         13 |          0 |          0 |         13 |
| c:\Users\howel\Desktop\Final Capstone\WIP\capstone\.idea\libraries\Maven__org_assertj_assertj_core_3_16_1.xml                                       | XML          |         13 |          0 |          0 |         13 |
| c:\Users\howel\Desktop\Final Capstone\WIP\capstone\.idea\libraries\Maven__org_glassfish_jakarta_el_3_0_3.xml                                        | XML          |         13 |          0 |          0 |         13 |
| c:\Users\howel\Desktop\Final Capstone\WIP\capstone\.idea\libraries\Maven__org_hamcrest_hamcrest_2_2.xml                                             | XML          |         13 |          0 |          0 |         13 |
| c:\Users\howel\Desktop\Final Capstone\WIP\capstone\.idea\libraries\Maven__org_hibernate_validator_hibernate_validator_6_1_5_Final.xml               | XML          |         13 |          0 |          0 |         13 |
| c:\Users\howel\Desktop\Final Capstone\WIP\capstone\.idea\libraries\Maven__org_jboss_logging_jboss_logging_3_4_1_Final.xml                           | XML          |         13 |          0 |          0 |         13 |
| c:\Users\howel\Desktop\Final Capstone\WIP\capstone\.idea\libraries\Maven__org_junit_jupiter_junit_jupiter_5_6_2.xml                                 | XML          |         13 |          0 |          0 |         13 |
| c:\Users\howel\Desktop\Final Capstone\WIP\capstone\.idea\libraries\Maven__org_junit_jupiter_junit_jupiter_api_5_6_2.xml                             | XML          |         13 |          0 |          0 |         13 |
| c:\Users\howel\Desktop\Final Capstone\WIP\capstone\.idea\libraries\Maven__org_junit_jupiter_junit_jupiter_engine_5_6_2.xml                          | XML          |         13 |          0 |          0 |         13 |
| c:\Users\howel\Desktop\Final Capstone\WIP\capstone\.idea\libraries\Maven__org_junit_jupiter_junit_jupiter_params_5_6_2.xml                          | XML          |         13 |          0 |          0 |         13 |
| c:\Users\howel\Desktop\Final Capstone\WIP\capstone\.idea\libraries\Maven__org_junit_platform_junit_platform_commons_1_6_2.xml                       | XML          |         13 |          0 |          0 |         13 |
| c:\Users\howel\Desktop\Final Capstone\WIP\capstone\.idea\libraries\Maven__org_junit_platform_junit_platform_engine_1_6_2.xml                        | XML          |         13 |          0 |          0 |         13 |
| c:\Users\howel\Desktop\Final Capstone\WIP\capstone\.idea\libraries\Maven__org_junit_vintage_junit_vintage_engine_5_6_2.xml                          | XML          |         13 |          0 |          0 |         13 |
| c:\Users\howel\Desktop\Final Capstone\WIP\capstone\.idea\libraries\Maven__org_mockito_mockito_core_3_3_3.xml                                        | XML          |         13 |          0 |          0 |         13 |
| c:\Users\howel\Desktop\Final Capstone\WIP\capstone\.idea\libraries\Maven__org_mockito_mockito_junit_jupiter_3_3_3.xml                               | XML          |         13 |          0 |          0 |         13 |
| c:\Users\howel\Desktop\Final Capstone\WIP\capstone\.idea\libraries\Maven__org_objenesis_objenesis_2_6.xml                                           | XML          |         13 |          0 |          0 |         13 |
| c:\Users\howel\Desktop\Final Capstone\WIP\capstone\.idea\libraries\Maven__org_opentest4j_opentest4j_1_2_0.xml                                       | XML          |         13 |          0 |          0 |         13 |
| c:\Users\howel\Desktop\Final Capstone\WIP\capstone\.idea\libraries\Maven__org_ow2_asm_asm_5_0_4.xml                                                 | XML          |         13 |          0 |          0 |         13 |
| c:\Users\howel\Desktop\Final Capstone\WIP\capstone\.idea\libraries\Maven__org_postgresql_postgresql_42_2_12.xml                                     | XML          |         13 |          0 |          0 |         13 |
| c:\Users\howel\Desktop\Final Capstone\WIP\capstone\.idea\libraries\Maven__org_skyscreamer_jsonassert_1_5_0.xml                                      | XML          |         13 |          0 |          0 |         13 |
| c:\Users\howel\Desktop\Final Capstone\WIP\capstone\.idea\libraries\Maven__org_slf4j_jul_to_slf4j_1_7_30.xml                                         | XML          |         13 |          0 |          0 |         13 |
| c:\Users\howel\Desktop\Final Capstone\WIP\capstone\.idea\libraries\Maven__org_slf4j_slf4j_api_1_7_30.xml                                            | XML          |         13 |          0 |          0 |         13 |
| c:\Users\howel\Desktop\Final Capstone\WIP\capstone\.idea\libraries\Maven__org_springframework_boot_spring_boot_2_3_0_RELEASE.xml                    | XML          |         13 |          0 |          0 |         13 |
| c:\Users\howel\Desktop\Final Capstone\WIP\capstone\.idea\libraries\Maven__org_springframework_boot_spring_boot_autoconfigure_2_3_0_RELEASE.xml      | XML          |         13 |          0 |          0 |         13 |
| c:\Users\howel\Desktop\Final Capstone\WIP\capstone\.idea\libraries\Maven__org_springframework_boot_spring_boot_devtools_2_3_0_RELEASE.xml           | XML          |         13 |          0 |          0 |         13 |
| c:\Users\howel\Desktop\Final Capstone\WIP\capstone\.idea\libraries\Maven__org_springframework_boot_spring_boot_starter_2_3_0_RELEASE.xml            | XML          |         13 |          0 |          0 |         13 |
| c:\Users\howel\Desktop\Final Capstone\WIP\capstone\.idea\libraries\Maven__org_springframework_boot_spring_boot_starter_data_jdbc_2_3_0_RELEASE.xml  | XML          |         13 |          0 |          0 |         13 |
| c:\Users\howel\Desktop\Final Capstone\WIP\capstone\.idea\libraries\Maven__org_springframework_boot_spring_boot_starter_jdbc_2_3_0_RELEASE.xml       | XML          |         13 |          0 |          0 |         13 |
| c:\Users\howel\Desktop\Final Capstone\WIP\capstone\.idea\libraries\Maven__org_springframework_boot_spring_boot_starter_json_2_3_0_RELEASE.xml       | XML          |         13 |          0 |          0 |         13 |
| c:\Users\howel\Desktop\Final Capstone\WIP\capstone\.idea\libraries\Maven__org_springframework_boot_spring_boot_starter_logging_2_3_0_RELEASE.xml    | XML          |         13 |          0 |          0 |         13 |
| c:\Users\howel\Desktop\Final Capstone\WIP\capstone\.idea\libraries\Maven__org_springframework_boot_spring_boot_starter_security_2_3_0_RELEASE.xml   | XML          |         13 |          0 |          0 |         13 |
| c:\Users\howel\Desktop\Final Capstone\WIP\capstone\.idea\libraries\Maven__org_springframework_boot_spring_boot_starter_test_2_3_0_RELEASE.xml       | XML          |         13 |          0 |          0 |         13 |
| c:\Users\howel\Desktop\Final Capstone\WIP\capstone\.idea\libraries\Maven__org_springframework_boot_spring_boot_starter_tomcat_2_3_0_RELEASE.xml     | XML          |         13 |          0 |          0 |         13 |
| c:\Users\howel\Desktop\Final Capstone\WIP\capstone\.idea\libraries\Maven__org_springframework_boot_spring_boot_starter_validation_2_3_0_RELEASE.xml | XML          |         13 |          0 |          0 |         13 |
| c:\Users\howel\Desktop\Final Capstone\WIP\capstone\.idea\libraries\Maven__org_springframework_boot_spring_boot_starter_web_2_3_0_RELEASE.xml        | XML          |         13 |          0 |          0 |         13 |
| c:\Users\howel\Desktop\Final Capstone\WIP\capstone\.idea\libraries\Maven__org_springframework_boot_spring_boot_test_2_3_0_RELEASE.xml               | XML          |         13 |          0 |          0 |         13 |
| c:\Users\howel\Desktop\Final Capstone\WIP\capstone\.idea\libraries\Maven__org_springframework_boot_spring_boot_test_autoconfigure_2_3_0_RELEASE.xml | XML          |         13 |          0 |          0 |         13 |
| c:\Users\howel\Desktop\Final Capstone\WIP\capstone\.idea\libraries\Maven__org_springframework_data_spring_data_commons_2_3_0_RELEASE.xml            | XML          |         13 |          0 |          0 |         13 |
| c:\Users\howel\Desktop\Final Capstone\WIP\capstone\.idea\libraries\Maven__org_springframework_data_spring_data_jdbc_2_0_0_RELEASE.xml               | XML          |         13 |          0 |          0 |         13 |
| c:\Users\howel\Desktop\Final Capstone\WIP\capstone\.idea\libraries\Maven__org_springframework_data_spring_data_relational_2_0_0_RELEASE.xml         | XML          |         13 |          0 |          0 |         13 |
| c:\Users\howel\Desktop\Final Capstone\WIP\capstone\.idea\libraries\Maven__org_springframework_security_spring_security_config_5_3_2_RELEASE.xml     | XML          |         13 |          0 |          0 |         13 |
| c:\Users\howel\Desktop\Final Capstone\WIP\capstone\.idea\libraries\Maven__org_springframework_security_spring_security_core_5_3_2_RELEASE.xml       | XML          |         13 |          0 |          0 |         13 |
| c:\Users\howel\Desktop\Final Capstone\WIP\capstone\.idea\libraries\Maven__org_springframework_security_spring_security_test_5_3_2_RELEASE.xml       | XML          |         13 |          0 |          0 |         13 |
| c:\Users\howel\Desktop\Final Capstone\WIP\capstone\.idea\libraries\Maven__org_springframework_security_spring_security_web_5_3_2_RELEASE.xml        | XML          |         13 |          0 |          0 |         13 |
| c:\Users\howel\Desktop\Final Capstone\WIP\capstone\.idea\libraries\Maven__org_springframework_spring_aop_5_2_6_RELEASE.xml                          | XML          |         13 |          0 |          0 |         13 |
| c:\Users\howel\Desktop\Final Capstone\WIP\capstone\.idea\libraries\Maven__org_springframework_spring_beans_5_2_6_RELEASE.xml                        | XML          |         13 |          0 |          0 |         13 |
| c:\Users\howel\Desktop\Final Capstone\WIP\capstone\.idea\libraries\Maven__org_springframework_spring_context_5_2_6_RELEASE.xml                      | XML          |         13 |          0 |          0 |         13 |
| c:\Users\howel\Desktop\Final Capstone\WIP\capstone\.idea\libraries\Maven__org_springframework_spring_core_5_2_6_RELEASE.xml                         | XML          |         13 |          0 |          0 |         13 |
| c:\Users\howel\Desktop\Final Capstone\WIP\capstone\.idea\libraries\Maven__org_springframework_spring_expression_5_2_6_RELEASE.xml                   | XML          |         13 |          0 |          0 |         13 |
| c:\Users\howel\Desktop\Final Capstone\WIP\capstone\.idea\libraries\Maven__org_springframework_spring_jcl_5_2_6_RELEASE.xml                          | XML          |         13 |          0 |          0 |         13 |
| c:\Users\howel\Desktop\Final Capstone\WIP\capstone\.idea\libraries\Maven__org_springframework_spring_jdbc_5_2_6_RELEASE.xml                         | XML          |         13 |          0 |          0 |         13 |
| c:\Users\howel\Desktop\Final Capstone\WIP\capstone\.idea\libraries\Maven__org_springframework_spring_test_5_2_6_RELEASE.xml                         | XML          |         13 |          0 |          0 |         13 |
| c:\Users\howel\Desktop\Final Capstone\WIP\capstone\.idea\libraries\Maven__org_springframework_spring_tx_5_2_6_RELEASE.xml                           | XML          |         13 |          0 |          0 |         13 |
| c:\Users\howel\Desktop\Final Capstone\WIP\capstone\.idea\libraries\Maven__org_springframework_spring_web_5_2_6_RELEASE.xml                          | XML          |         13 |          0 |          0 |         13 |
| c:\Users\howel\Desktop\Final Capstone\WIP\capstone\.idea\libraries\Maven__org_springframework_spring_webmvc_5_2_6_RELEASE.xml                       | XML          |         13 |          0 |          0 |         13 |
| c:\Users\howel\Desktop\Final Capstone\WIP\capstone\.idea\libraries\Maven__org_xmlunit_xmlunit_core_2_7_0.xml                                        | XML          |         13 |          0 |          0 |         13 |
| c:\Users\howel\Desktop\Final Capstone\WIP\capstone\.idea\libraries\Maven__org_yaml_snakeyaml_1_26.xml                                               | XML          |         13 |          0 |          0 |         13 |
| c:\Users\howel\Desktop\Final Capstone\WIP\capstone\.idea\misc.xml                                                                                   | XML          |         11 |          0 |          0 |         11 |
| c:\Users\howel\Desktop\Final Capstone\WIP\capstone\.idea\modules.xml                                                                                | XML          |          9 |          0 |          0 |          9 |
| c:\Users\howel\Desktop\Final Capstone\WIP\capstone\.idea\uiDesigner.xml                                                                             | XML          |        124 |          0 |          0 |        124 |
| c:\Users\howel\Desktop\Final Capstone\WIP\capstone\.idea\vcs.xml                                                                                    | XML          |          6 |          0 |          0 |          6 |
| c:\Users\howel\Desktop\Final Capstone\WIP\capstone\README.md                                                                                        | Markdown     |          3 |          0 |          3 |          6 |
| c:\Users\howel\Desktop\Final Capstone\WIP\capstone\frontend\README.md                                                                               | Markdown     |         54 |          0 |         38 |         92 |
| c:\Users\howel\Desktop\Final Capstone\WIP\capstone\frontend\package-lock.json                                                                       | JSON         |     28,626 |          0 |          1 |     28,627 |
| c:\Users\howel\Desktop\Final Capstone\WIP\capstone\frontend\package.json                                                                            | JSON         |         67 |          0 |          1 |         68 |
| c:\Users\howel\Desktop\Final Capstone\WIP\capstone\frontend\public\index.html                                                                       | HTML         |         20 |         23 |          1 |         44 |
| c:\Users\howel\Desktop\Final Capstone\WIP\capstone\frontend\public\manifest.json                                                                    | JSON         |         25 |          0 |          1 |         26 |
| c:\Users\howel\Desktop\Final Capstone\WIP\capstone\frontend\src\App.css                                                                             | CSS          |         33 |          0 |          5 |         38 |
| c:\Users\howel\Desktop\Final Capstone\WIP\capstone\frontend\src\App.js                                                                              | JavaScript   |         20 |          0 |          4 |         24 |
| c:\Users\howel\Desktop\Final Capstone\WIP\capstone\frontend\src\App.test.js                                                                         | JavaScript   |          7 |          0 |          2 |          9 |
| c:\Users\howel\Desktop\Final Capstone\WIP\capstone\frontend\src\Components\Footer\Footer.js                                                         | JavaScript   |         24 |          0 |          3 |         27 |
| c:\Users\howel\Desktop\Final Capstone\WIP\capstone\frontend\src\Components\Header\Header.js                                                         | JavaScript   |         54 |          7 |         10 |         71 |
| c:\Users\howel\Desktop\Final Capstone\WIP\capstone\frontend\src\Components\Home\Home.js                                                             | JavaScript   |         59 |          0 |          2 |         61 |
| c:\Users\howel\Desktop\Final Capstone\WIP\capstone\frontend\src\Components\Login\Login.js                                                           | JavaScript   |         84 |          0 |         13 |         97 |
| c:\Users\howel\Desktop\Final Capstone\WIP\capstone\frontend\src\Components\Main\Main.js                                                             | JavaScript   |        163 |         13 |         16 |        192 |
| c:\Users\howel\Desktop\Final Capstone\WIP\capstone\frontend\src\Components\Pages\AddRecipe.js                                                       | JavaScript   |        258 |         19 |         49 |        326 |
| c:\Users\howel\Desktop\Final Capstone\WIP\capstone\frontend\src\Components\Pages\Dashboard.js                                                       | JavaScript   |         60 |          0 |          6 |         66 |
| c:\Users\howel\Desktop\Final Capstone\WIP\capstone\frontend\src\Components\Pages\GroceryList.js                                                     | JavaScript   |        359 |         17 |         21 |        397 |
| c:\Users\howel\Desktop\Final Capstone\WIP\capstone\frontend\src\Components\Pages\Ingredients.js                                                     | JavaScript   |        103 |          0 |          3 |        106 |
| c:\Users\howel\Desktop\Final Capstone\WIP\capstone\frontend\src\Components\Pages\IngredientsList.js                                                 | JavaScript   |         27 |         13 |          5 |         45 |
| c:\Users\howel\Desktop\Final Capstone\WIP\capstone\frontend\src\Components\Pages\MealPlans.js                                                       | JavaScript   |         38 |          0 |          3 |         41 |
| c:\Users\howel\Desktop\Final Capstone\WIP\capstone\frontend\src\Components\Pages\Recipes.js                                                         | JavaScript   |        314 |          8 |         40 |        362 |
| c:\Users\howel\Desktop\Final Capstone\WIP\capstone\frontend\src\Components\Pages\RecipesList.js                                                     | JavaScript   |         55 |          0 |          8 |         63 |
| c:\Users\howel\Desktop\Final Capstone\WIP\capstone\frontend\src\Components\Register\Register.js                                                     | JavaScript   |         81 |          0 |          7 |         88 |
| c:\Users\howel\Desktop\Final Capstone\WIP\capstone\frontend\src\Components\SubComponents\IngredientsCollection.js                                   | JavaScript   |         32 |          2 |          5 |         39 |
| c:\Users\howel\Desktop\Final Capstone\WIP\capstone\frontend\src\Components\SubComponents\Loader\Loader.css                                          | CSS          |         28 |          0 |          1 |         29 |
| c:\Users\howel\Desktop\Final Capstone\WIP\capstone\frontend\src\Components\SubComponents\Loader\Loader.js                                           | JavaScript   |         11 |          0 |          3 |         14 |
| c:\Users\howel\Desktop\Final Capstone\WIP\capstone\frontend\src\Components\SubComponents\RecipeCollection.js                                        | JavaScript   |         38 |          0 |         11 |         49 |
| c:\Users\howel\Desktop\Final Capstone\WIP\capstone\frontend\src\Components\WithRouer\WithRouter.js                                                  | JavaScript   |         22 |          0 |          1 |         23 |
| c:\Users\howel\Desktop\Final Capstone\WIP\capstone\frontend\src\Redux\ActionTypes.js                                                                | JavaScript   |         44 |         11 |         12 |         67 |
| c:\Users\howel\Desktop\Final Capstone\WIP\capstone\frontend\src\Redux\actionCreators.js                                                             | JavaScript   |        703 |         57 |         75 |        835 |
| c:\Users\howel\Desktop\Final Capstone\WIP\capstone\frontend\src\Redux\comments.js                                                                   | JavaScript   |         35 |          0 |          8 |         43 |
| c:\Users\howel\Desktop\Final Capstone\WIP\capstone\frontend\src\Redux\configureStore.js                                                             | JavaScript   |         16 |          0 |          4 |         20 |
| c:\Users\howel\Desktop\Final Capstone\WIP\capstone\frontend\src\Redux\forms.js                                                                      | JavaScript   |          7 |          0 |          0 |          7 |
| c:\Users\howel\Desktop\Final Capstone\WIP\capstone\frontend\src\Redux\groceries.js                                                                  | JavaScript   |         32 |          0 |          8 |         40 |
| c:\Users\howel\Desktop\Final Capstone\WIP\capstone\frontend\src\Redux\history.js                                                                    | JavaScript   |          2 |          0 |          0 |          2 |
| c:\Users\howel\Desktop\Final Capstone\WIP\capstone\frontend\src\Redux\image.js                                                                      | JavaScript   |         17 |          5 |          7 |         29 |
| c:\Users\howel\Desktop\Final Capstone\WIP\capstone\frontend\src\Redux\ingredients.js                                                                | JavaScript   |         30 |          0 |          7 |         37 |
